created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,PM2.5_ATM_ug/m3
2019-08-10 02:00:00 UTC,13.21,18.35,19.13,322.73,-93.08,17.47
2019-08-10 03:00:00 UTC,10.86,15.26,15.99,381.48,-92.96,14.91
2019-08-10 04:00:00 UTC,12.94,17.89,18.57,442.12,-92.8,17.28
2019-08-10 05:00:00 UTC,29.09,39.33,40.74,501.65,-92.74,34.44
2019-08-10 06:00:00 UTC,28.52,39.48,40.94,563.04,-93.04,34.5
2019-08-10 07:00:00 UTC,19.8,25.53,26.35,620.83,-91.83,23.52
2019-08-10 08:00:00 UTC,19.03,25.85,26.82,681.31,-93.07,24.77
2019-08-10 09:00:00 UTC,24.81,32.49,33.77,740.03,-91.31,29.36
2019-08-10 10:00:00 UTC,21.83,28.06,29,799.79,-93.14,25.72
2019-08-10 11:00:00 UTC,20.16,26.01,26.74,860,-92.63,24.26
2019-08-10 12:00:00 UTC,16.07,20.54,21.24,920.07,-92.57,19.66
2019-08-10 13:00:00 UTC,14.98,19.37,19.94,980.03,-92.7,19.07
2019-08-10 14:00:00 UTC,83.09,112.5,117.78,1040.07,-93.33,77.67
2019-08-10 15:00:00 UTC,49.31,79.18,87.19,1100.03,-92.33,55.75
2019-08-10 16:00:00 UTC,51.75,77.95,84.37,1160.03,-92,55.87
2019-08-10 17:00:00 UTC,55.1,79.5,84.59,1220.1,-92.3,56.79
2019-08-10 18:00:00 UTC,33.31,48.24,51.15,1280.97,-92.57,39.05
2019-08-10 19:00:00 UTC,24.84,34.84,36.55,1341.1,-92.5,31.52
2019-08-10 20:00:00 UTC,20.89,29.54,31.11,1400.17,-92.76,27.58
2019-08-10 21:00:00 UTC,17.7,25.74,27.22,1460,-92.53,24.94
2019-08-10 22:00:00 UTC,17.83,25.46,26.86,1520,-92.03,23.52
2019-08-10 23:00:00 UTC,12.8,18.91,19.99,1580,-91.2,18.37
2019-08-11 00:00:00 UTC,10.98,16.85,17.92,1640,-91.7,16.83
2019-08-11 01:00:00 UTC,10.93,16.71,17.71,1700,-92.23,16.51
2019-08-11 02:00:00 UTC,12.73,18.85,19.99,1760,-91.2,18.32
2019-08-11 03:00:00 UTC,10.54,15.96,16.81,1820,-91.6,15.94
2019-08-11 04:00:00 UTC,13.77,20.94,22.21,1880,-91.5,20.33
2019-08-11 05:00:00 UTC,16.25,23.23,24.4,1940,-92.13,22.42
2019-08-11 06:00:00 UTC,29.51,40.59,42.14,2000,-91.63,34.87
2019-08-11 07:00:00 UTC,24.76,36.27,38.22,2060,-91.27,33.12
2019-08-11 08:00:00 UTC,25.61,37.32,39.22,2120,-92.07,33.72
2019-08-11 09:00:00 UTC,22.71,30.76,31.92,2180,-92.43,28.33
2019-08-11 10:00:00 UTC,18.24,24.86,25.92,2240,-92.3,23.72
2019-08-11 11:00:00 UTC,15.74,21.07,21.86,2300,-92.33,20.43
2019-08-11 12:00:00 UTC,13.14,17.78,18.4,2360,-92.57,17.22
2019-08-11 13:00:00 UTC,15.78,21.17,21.98,2420,-92.57,20.2
2019-08-11 14:00:00 UTC,17.3,22.86,23.65,2480,-91.5,21.89
2019-08-11 15:00:00 UTC,14.21,19.2,19.98,2540.3,-92.1,18.9
2019-08-11 16:00:00 UTC,17.47,24.03,24.96,2601,-91.83,23.38
2019-08-11 17:00:00 UTC,24.42,33.73,35.23,2660.07,-91.38,31.3
2019-08-11 18:00:00 UTC,26.13,35.82,37.4,2719.33,-92.67,32.32
2019-08-11 19:00:00 UTC,20.93,29.99,31.37,2781.03,-92.1,28.62
2019-08-11 20:00:00 UTC,19.01,26.78,28.04,2841,-91.83,25.51
2019-08-11 21:00:00 UTC,21.72,32.54,34.54,2900.66,-91.55,29.93
2019-08-11 22:00:00 UTC,15.92,24.14,25.68,2960,-92.03,23.7
2019-08-11 23:00:00 UTC,18.46,25.93,27,3020.07,-92.23,24.19
2019-08-12 00:00:00 UTC,14.4,21.44,22.57,3080.03,-91.67,20.25
2019-08-12 01:00:00 UTC,11.07,16.94,17.73,3140.03,-91.27,16.84
2019-08-12 02:00:00 UTC,11.37,16.91,17.89,3199.9,-92.38,16.75
2019-08-12 03:00:00 UTC,10.78,15.89,16.58,3259.97,-92.1,15.88
2019-08-12 04:00:00 UTC,14.21,21.06,22.27,3320,-92.17,20.87
2019-08-12 05:00:00 UTC,17.41,24.14,25.12,3380.07,-91.7,23.27
2019-08-12 06:00:00 UTC,20.82,28.98,30.14,3440.1,-90.63,27.87
2019-08-12 07:00:00 UTC,23.79,34.14,35.62,3500.47,-92.07,31.84
2019-08-12 08:00:00 UTC,24.65,35.26,36.97,3561,-91.43,32.28
2019-08-12 09:00:00 UTC,20.92,28.98,30.25,3621,-91.8,27.57
2019-08-12 10:00:00 UTC,23.7,33.96,35.6,3681.03,-91.03,30.72
2019-08-12 11:00:00 UTC,25.42,34.6,36.01,3741.1,-92.27,31.33
2019-08-12 12:00:00 UTC,19.45,26.38,27.59,3800.24,-91.86,25.24
2019-08-12 13:00:00 UTC,17,22.96,23.87,3859.33,-92.03,22.26
2019-08-12 14:00:00 UTC,26.59,34.67,35.83,3919.43,-92.27,30.92
2019-08-12 15:00:00 UTC,23.99,33.07,34.61,3980.03,-91.83,30.64
2019-08-12 16:00:00 UTC,18.09,24.53,25.56,4040.67,-92.4,23.74
2019-08-12 17:00:00 UTC,20.08,27.13,28.16,4100.9,-93,25.98
2019-08-12 18:00:00 UTC,23.66,32.36,33.57,4158.75,-92.5,29.97
2019-08-12 19:00:00 UTC,18,25.25,26.56,4220.07,-92.4,24.64
2019-08-12 20:00:00 UTC,15.94,22.7,23.95,4282.29,-92.46,22.28
2019-08-12 21:00:00 UTC,16.83,24.46,25.68,4340.1,-92.79,23.57
2019-08-12 22:00:00 UTC,15.02,21.72,22.95,4399.18,-92.71,20.8
2019-08-12 23:00:00 UTC,12.27,18.68,19.73,4462.16,-93.24,18.47
2019-08-13 00:00:00 UTC,11.34,16.51,17.37,4522.61,-93,16.34
2019-08-13 01:00:00 UTC,11.68,17.81,18.95,4579.81,-93.19,17.8
2019-08-13 02:00:00 UTC,10.07,15.12,15.95,4642,-92.72,15.08
2019-08-13 03:00:00 UTC,11.06,16.03,16.86,4702.13,-92.7,15.46
2019-08-13 04:00:00 UTC,17.54,24.32,25.46,4762.07,-92.93,22.76
2019-08-13 05:00:00 UTC,23.21,32.79,34.21,4817.91,-92.96,30.6
2019-08-13 06:00:00 UTC,26.76,39.48,41.52,4878.82,-92.41,35.16
2019-08-13 07:00:00 UTC,30.72,45.8,48.35,4940.5,-91.93,38.84
2019-08-13 08:00:00 UTC,28.67,42.1,44.23,5002.03,-91.72,36.49
2019-08-13 09:00:00 UTC,29.16,41.66,43.72,5060.86,-92.21,36.2
2019-08-13 10:00:00 UTC,25.05,35.56,37.18,5120.3,-92.7,32.43
2019-08-13 11:00:00 UTC,21.44,28.81,29.81,5181.37,-93.19,27.24
2019-08-13 12:00:00 UTC,19.71,26.74,27.84,5240.07,-93.21,25.43
2019-08-13 13:00:00 UTC,14.47,19.94,20.81,5299.17,-92.43,19.59
2019-08-13 14:00:00 UTC,22.64,30.09,31.32,5360.03,-92.8,27.64
2019-08-13 15:00:00 UTC,18.28,24.47,25.49,5420.83,-92.41,23.23
2019-08-13 16:00:00 UTC,20.97,27.43,28.5,5480,-92.5,25.9
2019-08-13 17:00:00 UTC,18.7,25.63,26.79,5535.95,-92.29,24.22
2019-08-13 18:00:00 UTC,31.72,42.92,44.72,5601.9,-91.45,35.96
2019-08-13 19:00:00 UTC,23.42,32.04,33.6,5660.53,-92.18,30.16
2019-08-13 20:00:00 UTC,22.5,31.59,32.96,5711.63,-92.37,29.41
2019-08-13 21:00:00 UTC,21.75,30.68,32.09,5776.25,-93.75,29.2
2019-08-13 22:00:00 UTC,15.99,22.84,23.85,22.25,-93.75,22.21
2019-08-13 23:00:00 UTC,13.31,19.73,20.89,70.43,-93.86,19.41
2019-08-14 00:00:00 UTC,13.47,21.03,22.33,132,-93.5,21.01
2019-08-14 01:00:00 UTC,12.42,18.74,19.84,186.11,-93.33,18.67
2019-08-14 02:00:00 UTC,11.37,17.76,18.91,246.55,-94.09,17.74
2019-08-14 03:00:00 UTC,23.12,35.27,37.59,315.62,-93.23,30.45
2019-08-14 04:00:00 UTC,23.34,33.1,34.72,370.55,-92.2,30.22
2019-08-14 05:00:00 UTC,34.77,47,48.92,427.09,-93,39.09
2019-08-14 06:00:00 UTC,35.89,49.12,51.18,483.44,-93,40.15
2019-08-14 07:00:00 UTC,31.89,45.35,47.66,557.43,-92.29,38.4
2019-08-14 08:00:00 UTC,24.97,34.28,35.84,609.14,-92.21,31.53
2019-08-14 09:00:00 UTC,23.63,31.83,33.09,669.31,-92.45,29.41
